Landsat Product Identifier L2,Date Acquired,Scene Cloud Cover L1,Scene Center Latitude,Scene Center Longitude
LC09_L2SP_201035_20240113_20240114_02_T1,2024/01/13,96.94,36.04347,-5.12964
LC08_L2SP_201035_20240121_20240129_02_T1,2024/01/21,42.75,36.04316,-5.11498
LC09_L2SP_201035_20240129_20240130_02_T1,2024/01/29,74.38,36.04315,-5.13775
LC08_L2SP_201035_20240206_20240212_02_T1,2024/02/06,10.48,36.04322,-5.13903
LC09_L2SP_201035_20240214_20240215_02_T1,2024/02/14,81.84,36.04325,-5.14837
LC08_L2SP_201035_20240222_20240229_02_T1,2024/02/22,55.49,36.04338,-5.15177
LC09_L2SP_201035_20240301_20240305_02_T1,2024/03/01,0.33,36.04307,-5.14452
LC08_L2SP_201035_20240309_20240316_02_T2,2024/03/09,99.25,36.04317,-5.13338
LC09_L2SP_201035_20240317_20240318_02_T1,2024/03/17,25.05,36.04334,-5.16835
LC08_L2SP_201035_20240325_20240403_02_T1,2024/03/25,84.17,36.04342,-5.11681
LC09_L2SP_201035_20240402_20240403_02_T1,2024/04/02,19.51,36.04349,-5.16185
LC08_L2SP_201035_20240410_20240419_02_T1,2024/04/10,1.46,36.04315,-5.14009
LC09_L2SP_201035_20240418_20240419_02_T1,2024/04/18,43.63,36.04308,-5.1472
LC08_L2SP_201035_20240426_20240510_02_T1,2024/04/26,28.82,36.04346,-5.14463
LC09_L2SP_201035_20240504_20240505_02_T1,2024/05/04,0.69,36.04302,-5.13122
LC08_L2SP_201035_20240512_20240520_02_T1,2024/05/12,16.37,36.0435,-5.13604
LC09_L2SP_201035_20240520_20240523_02_T1,2024/05/20,15.33,36.04333,-5.1364
LC08_L2SP_201035_20240528_20240611_02_T1,2024/05/28,30.08,36.04351,-5.14044
LC09_L2SP_201035_20240605_20240611_02_T1,2024/06/05,14.13,36.04314,-5.15088
LC08_L2SP_201035_20240613_20240628_02_T1,2024/06/13,10.42,36.04344,-5.08856
LC09_L2SP_201035_20240621_20240622_02_T1,2024/06/21,8.42,36.0433,-5.11823
LC08_L2SP_201035_20240629_20240709_02_T1,2024/06/29,51.72,36.04316,-5.10293
LC09_L2SP_201035_20240707_20240708_02_T1,2024/07/07,2.24,36.04301,-5.13949
LC08_L2SP_201035_20240715_20240722_02_T1,2024/07/15,0.76,36.04309,-5.1163
LC09_L2SP_201035_20240723_20240724_02_T1,2024/07/23,9.79,36.04304,-5.12585
LC08_L2SP_201035_20240731_20240807_02_T1,2024/07/31,5.93,36.04305,-5.11535
LC09_L2SP_201035_20240808_20240809_02_T1,2024/08/08,4.66,36.04331,-5.10833
LC08_L2SP_201035_20240816_20240822_02_T1,2024/08/16,4.41,36.04342,-5.10544
LC09_L2SP_201035_20240824_20240825_02_T1,2024/08/24,20.04,36.04341,-5.13747
LC08_L2SP_201035_20240901_20240906_02_T1,2024/09/01,20.81,36.04332,-5.11434
LC09_L2SP_201035_20240909_20240910_02_T1,2024/09/09,2.71,36.04338,-5.1125
LC08_L2SP_201035_20240917_20240921_02_T1,2024/09/17,49.52,36.04314,-5.11766
LC09_L2SP_201035_20240925_20241001_02_T1,2024/09/25,20.26,36.04302,-5.09599
LC08_L2SP_201035_20241003_20241008_02_T1,2024/10/03,35.25,36.0432,-5.0847
LC09_L2SP_201035_20241011_20241012_02_T1,2024/10/11,23.86,36.04339,-5.1124
LC08_L2SP_201035_20241019_20241028_02_T1,2024/10/19,4.86,36.04317,-5.12773
LC09_L2SP_201035_20241027_20241028_02_T1,2024/10/27,7.66,36.04346,-5.15053
LC08_L2SP_201035_20241104_20241113_02_T1,2024/11/04,29.81,36.04312,-5.0964
LC09_L2SP_201035_20241112_20241116_02_T1,2024/11/12,9.69,36.04321,-5.10008
LC08_L2SP_201035_20241120_20241203_02_T1,2024/11/20,8.23,36.0435,-5.12366
LC09_L2SP_201035_20241128_20241129_02_T1,2024/11/28,20.17,36.04304,-5.15591
LC08_L2SP_201035_20241206_20241210_02_T1,2024/12/06,0.18,36.04333,-5.12257
LC09_L2SP_201035_20241214_20241215_02_T1,2024/12/14,49.76,36.04334,-5.1161
LC08_L2SP_201035_20241222_20241228_02_T1,2024/12/22,25.54,36.04321,-5.10912
LC09_L2SP_201035_20241230_20241231_02_T1,2024/12/30,24.06,36.04317,-5.11511
