Landsat Product Identifier L2,Date Acquired,Scene Cloud Cover L1,Scene Center Latitude,Scene Center Longitude
LC08_L2SP_201035_20160404_20200907_02_T2,2016/04/04,100.0,36.04307,-5.112
LC08_L2SP_201035_20160420_20200907_02_T1,2016/04/20,59.22,36.04329,-5.12385
LC08_L2SP_201035_20160506_20200907_02_T1,2016/05/06,76.13,36.04307,-5.13185
LC08_L2SP_201035_20160522_20200906_02_T1,2016/05/22,18.46,36.04306,-5.10283
LC08_L2SP_201035_20160607_20200906_02_T1,2016/06/07,9.42,36.04336,-5.09213
LC08_L2SP_201035_20160623_20200906_02_T1,2016/06/23,15.57,36.04344,-5.08633
LC08_L2SP_201035_20160709_20200906_02_T1,2016/07/09,1.72,36.04308,-5.09574
LC08_L2SP_201035_20160725_20200906_02_T1,2016/07/25,10.99,36.04326,-5.09298
LC08_L2SP_201035_20160810_20200906_02_T1,2016/08/10,31.0,36.04317,-5.0796
LC08_L2SP_201035_20160826_20200906_02_T1,2016/08/26,19.35,36.04342,-5.09195
LC08_L2SP_201035_20160911_20200906_02_T1,2016/09/11,39.94,36.04351,-5.09642
LC08_L2SP_201035_20160927_20200906_02_T1,2016/09/27,9.53,36.04331,-5.08795
LC08_L2SP_201035_20161013_20200905_02_T1,2016/10/13,61.65,36.04341,-5.10492
LC08_L2SP_201035_20161029_20200905_02_T1,2016/10/29,6.73,36.04339,-5.11086
LC08_L2SP_201035_20161114_20200905_02_T1,2016/11/14,1.97,36.04312,-5.10898
LC08_L2SP_201035_20161130_20200905_02_T1,2016/11/30,99.93,36.04312,-5.11518
LC08_L2SP_201035_20161216_20200905_02_T1,2016/12/16,72.76,36.04319,-5.10837
LC08_L2SP_201035_20170101_20200905_02_T1,2017/01/01,18.44,36.04328,-5.11297
LC08_L2SP_201035_20170117_20200905_02_T1,2017/01/17,0.1,36.04307,-5.11572
LC08_L2SP_201035_20170202_20200905_02_T2,2017/02/02,91.81,36.04315,-5.10916
LC08_L2SP_201035_20170218_20200905_02_T1,2017/02/18,13.15,36.04309,-5.10923
LC08_L2SP_201035_20170306_20200905_02_T1,2017/03/06,38.79,36.04348,-5.11284
LC08_L2SP_201035_20170322_20200904_02_T1,2017/03/22,24.88,36.04306,-5.10714
LC08_L2SP_201035_20170407_20200904_02_T1,2017/04/07,9.72,36.04313,-5.11961
LC08_L2SP_201035_20170423_20200904_02_T1,2017/04/23,23.02,36.04344,-5.12399
LC08_L2SP_201035_20170509_20200904_02_T1,2017/05/09,58.79,36.04321,-5.07949
LC08_L2SP_201035_20170525_20200903_02_T1,2017/05/25,29.19,36.04303,-5.09607
LC08_L2SP_201035_20170610_20200903_02_T1,2017/06/10,48.62,36.04311,-5.10097
LC08_L2SP_201035_20170626_20200903_02_T1,2017/06/26,6.96,36.04318,-5.09611
LC08_L2SP_201035_20170712_20200903_02_T1,2017/07/12,11.8,36.04321,-5.08235
LC08_L2SP_201035_20170728_20200903_02_T1,2017/07/28,8.34,36.04334,-5.09246
LC08_L2SP_201035_20170813_20200903_02_T1,2017/08/13,21.64,36.04313,-5.09834
LC08_L2SP_201035_20170829_20200903_02_T1,2017/08/29,68.75,36.04344,-5.09706
LC08_L2SP_201035_20170914_20200903_02_T1,2017/09/14,2.83,36.04348,-5.08591
LC08_L2SP_201035_20170930_20200903_02_T1,2017/09/30,10.56,36.04349,-5.1094
LC08_L2SP_201035_20171016_20200902_02_T1,2017/10/16,20.18,36.04341,-5.12126
